Date,High price,Low price,Closing price,Average price,Total volume,Turnover,
2003-10-06,597.31,588.86,590.99,,,,
2003-10-03,591.70,571.67,591.24,,,,
2003-10-02,580.12,570.27,570.39,,,,
2003-10-01,572.56,565.04,572.56,,,,
2003-09-30,577.73,565.01,567.02,,,,
2003-09-29,586.41,575.33,575.61,,,,
2003-09-26,582.94,574.74,581.65,,,,
2003-09-25,579.68,572.79,576.78,,,,
2003-09-24,595.18,581.22,581.22,,,,
2003-09-23,593.60,582.88,588.08,,,,
2003-09-22,601.18,585.76,589.36,,,,
2003-09-19,608.51,602.80,603.03,,,,
2003-09-18,608.93,602.14,608.48,,,,
2003-09-17,617.65,607.66,608.99,,,,
2003-09-16,609.94,602.21,609.53,,,,
2003-09-15,609.55,602.33,603.71,,,,
2003-09-12,610.35,600.40,602.77,,,,
2003-09-11,602.19,591.28,600.44,,,,
2003-09-10,607.83,598.74,599.18,,,,
2003-09-09,618.42,608.74,609.11,,,,
2003-09-08,615.45,609.15,615.14,,,,
2003-09-05,613.98,606.29,612.49,,,,
2003-09-04,616.88,608.34,611.15,,,,
2003-09-03,616.39,603.03,611.12,,,,
2003-09-02,604.36,597.70,601.10,,,,
2003-09-01,599.43,587.05,598.45,,,,
2003-08-29,594.78,586.43,586.43,,,,
2003-08-28,595.18,587.89,589.97,,,,
2003-08-27,590.38,584.91,588.06,,,,
2003-08-26,594.32,580.68,583.90,,,,
2003-08-25,596.43,589.18,589.84,,,,
2003-08-22,603.26,594.23,597.10,,,,
2003-08-21,602.50,592.02,599.13,,,,
2003-08-20,595.26,587.48,592.64,,,,
2003-08-19,593.71,585.98,592.48,,,,
2003-08-18,585.26,575.58,585.26,,,,
2003-08-15,580.32,572.90,574.94,,,,
2003-08-14,578.37,571.65,578.37,,,,
2003-08-13,576.39,568.90,574.52,,,,
2003-08-12,569.47,558.81,567.64,,,,
2003-08-11,561.92,556.12,557.91,,,,
2003-08-08,560.80,554.91,557.87,,,,
2003-08-07,559.14,550.42,555.74,,,,
2003-08-06,568.13,557.29,558.44,,,,
2003-08-05,571.95,566.25,570.62,,,,
2003-08-04,572.06,564.61,567.72,,,,
2003-08-01,572.55,566.05,568.51,,,,
2003-07-31,571.62,559.38,571.01,,,,
2003-07-30,565.03,561.02,564.86,,,,
2003-07-29,564.49,557.60,560.40,,,,
2003-07-28,563.17,554.07,562.67,,,,
2003-07-25,555.25,551.21,552.78,,,,
2003-07-24,556.75,546.72,555.66,,,,
2003-07-23,552.71,546.14,546.73,,,,
2003-07-22,554.21,547.70,549.49,,,,
2003-07-21,559.28,550.64,551.26,,,,
2003-07-18,561.78,552.67,552.67,,,,
2003-07-17,549.68,541.41,546.23,,,,
2003-07-16,558.25,549.85,549.91,,,,
2003-07-15,557.71,549.36,554.53,,,,
2003-07-14,554.01,544.50,553.67,,,,
2003-07-11,544.24,538.09,544.16,,,,
2003-07-10,548.78,540.81,540.83,,,,
2003-07-09,550.90,545.45,546.28,,,,
2003-07-08,553.76,546.27,550.17,,,,
2003-07-07,553.16,539.49,551.94,,,,
2003-07-04,540.39,535.07,539.05,,,,
2003-07-03,538.95,530.80,537.95,,,,
2003-07-02,530.71,523.67,529.86,,,,
2003-07-01,531.96,520.55,522.32,,,,
2003-06-30,537.01,530.37,531.46,,,,
2003-06-27,537.67,529.61,536.54,,,,
2003-06-26,530.37,524.47,528.68,,,,
2003-06-25,529.55,525.41,527.96,,,,
2003-06-24,532.54,524.25,525.09,,,,
2003-06-23,538.36,531.60,531.68,,,,
2003-06-19,545.86,538.53,539.15,,,,
2003-06-18,545.44,536.96,545.21,,,,
2003-06-17,544.59,536.46,541.58,,,,
2003-06-16,535.27,524.57,534.85,,,,
2003-06-13,539.34,528.95,529.43,,,,
2003-06-12,542.24,534.62,539.04,,,,
2003-06-11,534.64,527.15,533.76,,,,
2003-06-10,529.73,523.40,527.05,,,,
2003-06-06,531.98,517.78,528.88,,,,
2003-06-05,522.96,516.09,517.03,,,,
2003-06-04,517.91,508.24,516.96,,,,
2003-06-03,517.48,509.05,511.85,,,,
2003-06-02,522.05,516.05,518.52,,,,
2003-05-30,517.50,508.13,514.46,,,,
2003-05-28,513.97,503.53,512.94,,,,
2003-05-27,502.35,491.97,502.35,,,,
2003-05-26,500.36,494.49,495.55,,,,
2003-05-23,501.89,494.13,498.95,,,,
2003-05-22,499.34,492.74,497.34,,,,
2003-05-21,500.10,490.19,492.31,,,,
2003-05-20,504.61,497.61,499.48,,,,
2003-05-19,517.19,503.61,504.75,,,,
2003-05-16,526.10,516.59,518.45,,,,
2003-05-15,521.52,516.98,520.01,,,,
2003-05-14,526.21,519.35,519.78,,,,
2003-05-13,524.30,514.84,524.00,,,,
2003-05-12,517.47,510.74,515.81,,,,
2003-05-09,513.44,500.28,513.44,,,,
2003-05-08,519.87,506.04,506.19,,,,
2003-05-07,525.52,513.35,515.33,,,,
2003-05-06,525.87,519.49,525.78,,,,
2003-05-05,529.02,520.33,524.30,,,,
2003-05-02,522.64,512.82,519.29,,,,
2003-04-30,523.57,517.95,521.92,,,,
2003-04-29,527.27,518.02,521.49,,,,
2003-04-28,514.91,495.59,513.59,,,,
2003-04-25,503.94,496.85,497.92,,,,
2003-04-24,510.16,502.41,503.47,,,,
2003-04-23,508.41,499.09,503.67,,,,
2003-04-22,500.17,492.49,497.98,,,,
2003-04-17,496.37,488.32,495.59,,,,
2003-04-16,503.30,493.89,493.93,,,,
2003-04-15,496.96,484.94,495.60,,,,
2003-04-14,487.71,478.61,483.87,,,,
2003-04-11,489.59,481.61,483.48,,,,
2003-04-10,491.17,481.26,483.12,,,,
2003-04-09,497.48,486.01,492.43,,,,
2003-04-08,501.63,491.65,493.71,,,,
2003-04-07,505.88,485.87,503.00,,,,
2003-04-04,488.80,474.90,482.89,,,,
2003-04-03,486.46,477.41,480.86,,,,
2003-04-02,482.48,462.69,480.45,,,,
2003-04-01,464.04,453.38,461.69,,,,
2003-03-31,472.95,454.60,457.78,,,,
2003-03-28,478.73,470.79,475.39,,,,
2003-03-27,486.49,474.72,478.90,,,,
2003-03-26,493.90,485.70,486.82,,,,
2003-03-25,490.13,478.52,489.30,,,,
2003-03-24,502.07,488.06,489.38,,,,
2003-03-21,506.03,494.73,503.40,,,,
2003-03-20,500.12,486.55,494.14,,,,
2003-03-19,496.47,481.92,490.40,,,,
2003-03-18,499.20,483.04,485.22,,,,
2003-03-17,488.30,453.92,484.00,,,,
2003-03-14,465.93,452.53,465.77,,,,
2003-03-13,450.74,433.17,450.74,,,,
2003-03-12,441.87,430.33,432.36,,,,
2003-03-11,445.66,435.40,440.82,,,,
2003-03-10,452.41,444.13,446.00,,,,
2003-03-07,456.90,446.53,452.03,,,,
2003-03-06,461.97,455.41,457.71,,,,
2003-03-05,462.81,456.63,459.64,,,,
2003-03-04,470.44,461.62,463.13,,,,
2003-03-03,475.78,469.21,471.43,,,,
2003-02-28,470.35,459.42,469.97,,,,
2003-02-27,466.32,451.11,464.00,,,,
2003-02-26,466.72,457.34,459.10,,,,
2003-02-25,473.48,458.41,461.46,,,,
2003-02-24,482.52,473.16,474.47,,,,
2003-02-21,480.32,472.34,478.19,,,,
2003-02-20,490.73,479.17,479.98,,,,
2003-02-19,500.84,489.18,491.29,,,,
2003-02-18,501.47,487.82,499.17,,,,
2003-02-17,494.87,481.08,493.91,,,,
2003-02-14,483.25,472.28,479.38,,,,
2003-02-13,480.73,470.43,474.30,,,,
2003-02-12,474.36,466.01,473.17,,,,
2003-02-11,472.70,457.52,469.07,,,,
2003-02-10,465.98,456.53,456.53,,,,
2003-02-07,476.20,465.59,466.97,,,,
2003-02-06,481.08,470.37,474.25,,,,
2003-02-05,476.44,460.54,476.34,,,,
2003-02-04,479.10,463.81,464.00,,,,
2003-02-03,484.69,474.86,481.80,,,,
2003-01-31,478.01,469.97,477.80,,,,
2003-01-30,480.46,468.48,479.68,,,,
2003-01-29,471.55,462.87,466.82,,,,
2003-01-28,480.77,467.72,469.16,,,,
2003-01-27,492.45,474.93,475.65,,,,
2003-01-24,503.02,493.06,494.18,,,,
2003-01-23,507.46,495.94,497.97,,,,
2003-01-22,510.84,498.55,500.38,,,,
2003-01-21,520.01,507.09,508.64,,,,
2003-01-20,517.41,509.23,515.77,,,,
2003-01-17,519.88,508.47,509.61,,,,
2003-01-16,522.39,513.65,521.44,,,,
2003-01-15,530.71,519.26,521.32,,,,
2003-01-14,528.77,521.23,526.01,,,,
2003-01-13,526.28,516.58,519.11,,,,
2003-01-10,516.66,506.70,514.67,,,,
2003-01-09,508.83,494.41,508.27,,,,
2003-01-08,517.32,501.00,504.78,,,,
2003-01-07,525.55,512.86,518.66,,,,
2003-01-03,521.67,515.36,519.75,,,,
2003-01-02,514.97,494.09,514.79,,,,
2002-12-30,500.72,490.79,493.20,,,,
2002-12-27,507.15,490.99,494.37,,,,
2002-12-23,510.87,503.64,508.32,,,,
2002-12-20,513.42,503.63,509.81,,,,
2002-12-19,515.34,498.11,508.36,,,,
2002-12-18,521.29,505.82,505.82,,,,
2002-12-17,536.57,518.20,518.78,,,,
2002-12-16,537.34,527.23,534.16,,,,
2002-12-13,534.03,524.41,534.03,,,,
2002-12-12,542.52,531.42,533.17,,,,
2002-12-11,548.86,536.88,543.08,,,,
2002-12-10,543.65,536.10,541.64,,,,
2002-12-09,555.27,540.90,542.46,,,,
2002-12-06,557.71,540.49,550.29,,,,
2002-12-05,568.19,551.50,551.92,,,,
2002-12-04,563.27,552.34,558.50,,,,
2002-12-03,573.43,555.34,559.57,,,,
2002-12-02,585.42,570.74,570.82,,,,
2002-11-29,587.23,573.55,575.24,,,,
2002-11-28,586.89,573.80,584.02,,,,
2002-11-27,578.25,550.86,578.25,,,,
2002-11-26,568.64,554.75,555.78,,,,
2002-11-25,577.46,564.97,566.50,,,,
2002-11-22,576.79,565.30,573.46,,,,
2002-11-21,568.75,549.13,568.08,,,,
2002-11-20,549.00,534.22,546.30,,,,
2002-11-19,552.68,538.10,542.68,,,,
2002-11-18,556.27,544.70,554.37,,,,
2002-11-15,558.82,539.34,542.72,,,,
2002-11-14,549.98,532.52,548.03,,,,
2002-11-13,536.66,523.72,535.11,,,,
2002-11-12,530.41,513.94,529.55,,,,
2002-11-11,515.86,508.16,513.20,,,,
2002-11-08,523.76,508.83,516.23,,,,
2002-11-07,537.62,511.54,514.61,,,,
2002-11-06,536.04,526.01,527.02,,,,
2002-11-05,534.78,517.56,534.75,,,,
2002-11-04,528.74,506.00,523.42,,,,
2002-11-01,510.17,496.85,502.58,,,,
2002-10-31,517.04,501.87,511.32,,,,
2002-10-30,501.62,486.78,501.62,,,,
2002-10-29,505.92,483.96,488.12,,,,
2002-10-28,511.30,497.63,504.70,,,,
2002-10-25,497.85,488.50,495.53,,,,
2002-10-24,498.65,480.77,497.40,,,,
2002-10-23,506.28,480.09,482.80,,,,
2002-10-22,506.50,493.38,496.24,,,,
2002-10-21,510.35,497.77,501.88,,,,
2002-10-18,501.44,480.84,499.61,,,,
2002-10-17,505.98,482.81,491.46,,,,
2002-10-16,500.51,478.96,481.83,,,,
2002-10-15,492.23,461.37,492.23,,,,
2002-10-14,473.70,455.94,460.22,,,,
2002-10-11,462.94,435.53,462.32,,,,
2002-10-10,434.52,413.99,434.52,,,,
2002-10-09,429.99,415.96,421.01,,,,
2002-10-08,437.00,420.14,421.93,,,,
2002-10-07,447.59,428.80,429.00,,,,
2002-10-04,455.68,441.36,448.66,,,,
2002-10-03,463.75,453.34,455.14,,,,
2002-10-02,469.40,451.79,463.66,,,,
2002-10-01,453.55,441.60,453.29,,,,
2002-09-30,473.53,440.02,445.65,,,,
2002-09-27,484.68,470.60,474.69,,,,
2002-09-26,482.41,461.03,480.95,,,,
